_runtime,_step,eval/mean_reward,ID,group,name,algo,team size,eval team size,seed,eval_seed,job_type,partial_obs,batch_size,_total_timesteps
167.48186945915222,1069,-67.25537190082646,fzqwoz4g,,heuristic_5_13_agent_above,,-5,-5,,,test,,,
135.30321550369263,131,1.4677685950413222,tsffdvsr,,ppo_15_13_default_b0c00a35,,-5,-5,,,test,,,
196.54889464378357,474,-40.416528925619836,0gdv7yed,,ppo_15_13_default_b0c00a35,,-5,-5,,,test,,,
212.34931111335754,823,1.8460055096418744,5iaa2waw,,ppo_15_13_default_b0c00a35,,-5,-5,,,test,,,
188.79019904136658,1111,-34.36363636363636,q8bekdza,,ppo_5_13_fire_entropy,,-5,-5,,,test,,,
1061.293792963028,7,2.0677688121795654,xuvrmfzh,,ppo_5_13_default_3b355ef0,,-5,-5,None,,train,,128.0,300000.0
819.4488301277161,7,7.764462947845459,t2nluy58,,ppo_5_13_default_c9338f1c,,-5,-5,None,,train,,128.0,300000.0
1986.6210598945618,7,2.344628095626831,90i6nbt4,,ppo_5_13_default_f531dd49,,-5,-5,None,,train,,128.0,300000.0
7793.076787948608,959,19.113224029541016,3wkiioap,,ppo_5_13,,-5,-5,None,,train,,128.0,300000.0
628.9371719360352,1124,,sdctvhag,,ppo_5_13,,-5,-5,None,,train,,128.0,300000.0
