eval/burnt trees,eval/std_of_mean_reward,eval/mean_ep_length,eval/mean_reward,eval/mean_burnt trees,ID,group,name,algo,team size,eval team size,seed,eval_seed,job_type,partial_obs,batch_size,train/mean_reward,train/std_of_mean_reward,train/burnt trees,train/mean_ep_length,_total_timesteps
0.7107438016528925,0.3019230830842323,25.0,-2.259199380165289,,lrgau392,qmix_f494ca770a,qmix,qmix,10,10,8001,3456.0,test,True,32.0,-0.4480630165289255,0.0,,25.0,
0.7107438016528925,0.3019230830842323,25.0,-2.259199380165289,,7k61e970,qmix_0dd303f220,qmix,qmix,10,10,8001,3456.0,test,True,32.0,-0.4480630165289255,0.0,,25.0,
0.01652892561983471,0.0,1.0,0.04271694214876036,,sono8g05,qmix_1c7660ad9c,qmix,qmix,10,10,8001,3456.0,train,True,32.0,0.04151169163223143,0.005241164260768079,,1.0,
0.01652892561983471,0.0,1.0,0.04271694214876036,,m4qz1k32,qmix_8b1d023330,qmix,qmix,10,10,8001,3456.0,train,True,32.0,0.04151169163223143,0.005241164260768079,,1.0,
0.01652892561983471,0.0,1.0,0.04271694214876036,,smoydbcr,qmix_1ea251219a,qmix,qmix,10,10,8001,3456.0,train,False,32.0,0.04151169163223143,0.005241164260768079,,1.0,
0.01652892561983471,0.0,1.0,0.04271694214876036,,7zv5b4up,qmix_819ac2dfe3,qmix,qmix,10,10,8001,3456.0,train,False,32.0,0.04151169163223143,0.005241164260768079,,1.0,
0.04132231404958678,0.0,1.0,0.1130423553719008,,mqofmhq0,qmix_443dc88c41,qmix,qmix,10,10,8001,3456.0,test,False,32.0,0.10856141528925618,0.012553824198629167,,1.0,
0.024793388429752067,0.0,1.0,-0.06404958677685951,,m3njc5bk,vdn_a063ae6f80,vdn,vdn,-5,-5,8001,3456.0,train,,32.0,-0.07000717606257381,0.004331990096198127,,1.0,
0.024793388429752067,0.0,1.0,-0.06404958677685951,,fs3bryp5,vdn_cafdedf88f,vdn,vdn,-5,-5,8001,3456.0,train,,32.0,-0.06986655106257382,0.004342515607899057,,1.0,
0.01652892561983471,0.0,1.0,0.04271694214876036,,ko5uoyl0,qmix_d99a5074f9,qmix,qmix,-5,-5,8001,3456.0,train,,32.0,0.04162701446280995,0.004899224797631786,,1.0,
0.01652892561983471,0.0,1.0,0.04271694214876036,,d2bgn8d3,qmix_a79e9519b3,qmix,qmix,-5,-5,8001,3456.0,train,,32.0,0.04139341425619837,0.005526687887809691,,1.0,
0.01652892561983471,0.05273308386346383,1.0,-0.05384297520661156,,vmr1xdut,qmix_17082c0707,qmix,qmix,-5,-5,8001,,train,,32.0,-0.0251673166322314,0.05613973217517642,,1.0,
0.008264462809917356,0.024179847268260387,1.0,-0.04572314049586777,,3u8k4zay,qmix_377b736128,qmix,qmix,-5,-5,8001,,train,,32.0,-0.022308122417355372,0.05659209547100626,,1.0,
0.03305785123966942,0.031093614399867495,1.0,0.00865702479338843,,zvdkztd4,qmix_e8d833fe2f,qmix,qmix,-5,-5,8001,,train,,32.0,-0.13125,0.0,,1.0,
0.03305785123966942,0.06727623191586371,1.0,-0.013739669421487615,,qj587q4y,qmix_0e4f82d8a8,qmix,qmix,-5,-5,8001,,train,,32.0,-0.2577995867768595,0.0,,1.0,
0.01652892561983471,0.07764696845673902,1.0,0.006575413223140501,,z6kf9yfc,qmix_972a631ad1,qmix,qmix,-5,-5,3456,,train,,32.0,-0.024886157024793385,0.056516195691441284,,1.0,
0.024793388429752067,0.046027290588246506,1.0,-0.003533057851239657,,nyfx4bfy,qmix_5b6bba156d,qmix,qmix,-5,-5,3456,,train,,32.0,-0.027918065599173553,0.0585418891501633,,1.0,
0.03305785123966942,0.05018210953663283,1.0,0.003117768595041321,,ubfur0n4,vdn_467327b825,vdn,vdn,-5,-5,3456,,test,,32.0,-0.029795092975206612,0.055263263218694195,,1.0,
,,,,,ao5pjnpu,vdn_25d3357848,vdn,vdn,-5,-5,3456,,train,,32.0,-0.03162016676505313,0.05418193812082409,,1.0,
0.8181818181818182,,,-0.7367252066115698,,8vavb6wy,,ppo_15_13_fire_adjacent_03_10_09_34_20,,-5,-5,None,,train,,256.0,,,,,500000.0
0.9586776859504132,,25.0,6.4491993801652905,,3e6dz7v8,,ppo_10_13_agent_adjacent_03_10_09_34_20,,-5,-5,None,,train,,256.0,,,,,500000.0
0.8677685950413223,,,5.293233471074379,,319ocbil,,ppo_15_13_fire_adjacent_03_10_09_34_20,,-5,-5,None,,train,,256.0,,,,,500000.0
0.7933884297520661,,,-1.0824380165289258,,pn4vvu5c,,ppo_10_13_fire_adjacent_03_10_09_34_02,,-5,-5,None,,train,,256.0,,,,,500000.0
